RW Ports,R Ports,W Ports,Word Size,Num Words,Library,Area (µm²),Frequency,Access Time,Avg. Power
0,1,1,32,256,freepdk45,N/A,,0.323,1.168677 mW
1,0,0,32,1024,freepdk45,N/A,,N/A,2.378358 mW
1,0,0,32,128,freepdk45,N/A,,N/A,0.384901 mW
0,1,1,32,2048,freepdk45,N/A,,0.399,8.071717 mW
0,1,1,32,128,freepdk45,N/A,,0.287,0.673663 mW
0,1,1,32,1024,freepdk45,N/A,,0.396,4.129905 mW
1,0,0,32,256,freepdk45,N/A,,N/A,0.670306 mW
1,0,0,32,512,freepdk45,N/A,,N/A,1.258564 mW
0,1,1,32,512,freepdk45,N/A,,0.324,2.193201 mW
1,0,0,32,2048,freepdk45,N/A,,N/A,4.652248 mW
